Name,Age,Gender,Skills,Wages (INR/day),Location,Pincode,Years of Experience,Education Level,Marital Status,Number of Dependents,Work Type
Mitali Bora,34,Female,Sewing,402-654,Kolkata,700001,8,Primary,Married,3,Part-Time
Zayan Bhatnagar,55,Male,Plumbing,454-596,Kolkata,700001,18,Primary,Widowed,0,Part-Time
Brijesh Dhingra,43,Female,Welding,502-689,Delhi,110001,13,Higher Secondary,Widowed,0,Seasonal
Finn Acharya,37,Male,"Domestic Help, Painting",444-618,Delhi,110001,15,Primary,Widowed,2,Full-Time
Vasatika Ganesan,36,Male,Tailoring,324-604,Lucknow,226001,11,Secondary,Widowed,0,Seasonal
Parth Barman,47,Female,Masonry,347-460,Chennai,600001,8,Primary,Single,2,Seasonal
Aahana Ahluwalia,45,Female,Decorating,386-658,Ahmedabad,380001,13,Primary,Widowed,2,Seasonal
Maya Chandran,38,Female,Sewing,534-832,Lucknow,226001,6,Higher Secondary,Single,0,Part-Time
Udarsh Ramaswamy,39,Female,Welding,428-664,Hyderabad,500001,2,Primary,Married,2,Part-Time
Ekta Sinha,49,Female,Electrical Work,415-613,Ahmedabad,380001,10,None,Widowed,0,Full-Time
Lajita Bhatt,35,Male,Painting,363-598,Jaipur,302001,1,Secondary,Widowed,0,Part-Time
Indali Sama,20,Male,"Plastering, Electrical Work",510-740,Bangalore,560001,3,Higher Secondary,Single,2,Part-Time
Anmol Mand,40,Male,Sewing,597-883,Lucknow,226001,18,Primary,Married,1,Part-Time
Nandini Bali,29,Female,Decorating,340-525,Bangalore,560001,11,Secondary,Married,4,Seasonal
Gaurika Vora,54,Female,Masonry,343-507,Ahmedabad,380001,16,Higher Secondary,Widowed,0,Full-Time
Pratyush Radhakrishnan,43,Female,Carpentry,550-727,Kolkata,700001,5,Higher Secondary,Widowed,0,Seasonal
Imaran Bandi,24,Female,Welding,456-726,Chennai,600001,5,Higher Secondary,Single,0,Part-Time
Caleb Ganesan,56,Female,Gardening,322-489,Pune,411001,3,None,Single,0,Seasonal
Qabil Khatri,41,Male,Electrical Work,310-553,Pune,411001,20,Primary,Single,1,Seasonal
Ati Kata,44,Female,"Sewing, Plastering",492-745,Jaipur,302001,16,None,Married,3,Seasonal
Dalbir Kumar,53,Female,Tailoring,479-753,Jaipur,302001,7,Secondary,Single,1,Full-Time
Tamanna Viswanathan,36,Female,Electrical Work,410-639,Bangalore,560001,10,Secondary,Married,5,Part-Time
Chakradhar Shukla,36,Male,Electrical Work,546-718,Mumbai,400001,12,Secondary,Married,2,Seasonal
Nidra Varkey,36,Male,Masonry,346-516,Ahmedabad,380001,1,Secondary,Married,5,Seasonal
Barkha Raja,57,Female,Plumbing,493-671,Jaipur,302001,14,Secondary,Single,1,Seasonal
Manya Nair,55,Female,Tailoring,469-647,Mumbai,400001,6,None,Married,6,Part-Time
Janya Sabharwal,49,Male,Cooking,571-827,Hyderabad,500001,6,Primary,Single,2,Seasonal
Tanay Sura,32,Male,Tailoring,554-691,Bangalore,560001,12,None,Married,1,Full-Time
Faras Nath,19,Male,"Masonry, Welding",596-748,Bangalore,560001,1,Higher Secondary,Widowed,0,Part-Time
Lekha Barad,42,Female,Plastering,582-688,Kolkata,700001,12,Primary,Single,0,Seasonal
Amol Raghavan,42,Female,Domestic Help,424-699,Kolkata,700001,17,Secondary,Single,0,Part-Time
Yachana Singh,41,Female,"Sewing, Carpentry",546-803,Mumbai,400001,12,Higher Secondary,Widowed,1,Full-Time
Parth Dubey,51,Male,Painting,557-786,Chennai,600001,8,Higher Secondary,Widowed,1,Part-Time
Ekavir Uppal,28,Male,Tailoring,591-857,Lucknow,226001,5,Higher Secondary,Married,1,Full-Time
Kalpit Kari,41,Female,Welding,589-822,Delhi,110001,12,Primary,Married,3,Full-Time
Ekta Chopra,25,Female,Sewing,354-503,Hyderabad,500001,5,None,Widowed,1,Full-Time
Azaan Subramanian,39,Female,Tailoring,371-640,Mumbai,400001,12,Higher Secondary,Widowed,2,Seasonal
Ladli Pant,54,Female,Plastering,585-695,Lucknow,226001,7,Secondary,Married,1,Seasonal
Wridesh Magar,44,Female,Welding,361-653,Delhi,110001,3,Secondary,Single,2,Part-Time
Reyansh Chhabra,50,Female,Sewing,547-796,Delhi,110001,20,Secondary,Married,0,Full-Time
Nihal Banik,34,Male,Welding,509-730,Delhi,110001,7,None,Single,0,Part-Time
Balendra Deshpande,27,Female,Tailoring,575-794,Lucknow,226001,5,Higher Secondary,Widowed,0,Seasonal
Nikita Balasubramanian,37,Male,Domestic Help,517-658,Mumbai,400001,18,Higher Secondary,Widowed,0,Full-Time
Osha Prakash,40,Female,Plastering,456-671,Hyderabad,500001,4,Higher Secondary,Widowed,2,Part-Time
Chaitanya Malhotra,36,Female,Cooking,486-720,Bangalore,560001,12,Higher Secondary,Widowed,2,Part-Time
Max Vora,58,Female,Electrical Work,420-651,Hyderabad,500001,7,Higher Secondary,Single,2,Seasonal
Hiral Kapur,32,Female,Tailoring,465-607,Lucknow,226001,15,Primary,Married,3,Part-Time
Advay Chaudhari,46,Female,Plastering,460-579,Pune,411001,20,Primary,Single,1,Part-Time
Fiyaz Balasubramanian,47,Female,Plumbing,399-550,Chennai,600001,14,Primary,Widowed,1,Seasonal
Meera Pandit,41,Female,Decorating,596-876,Mumbai,400001,1,Secondary,Single,2,Full-Time
Zehaan Deep,31,Female,Gardening,522-651,Pune,411001,8,Secondary,Single,2,Part-Time
Michael Mishra,25,Male,Plumbing,349-537,Hyderabad,500001,7,Primary,Single,1,Part-Time
Yasti Hans,49,Male,Plumbing,414-529,Delhi,110001,8,Higher Secondary,Married,0,Full-Time
Pavani Palla,19,Female,Electrical Work,473-589,Bangalore,560001,2,Secondary,Widowed,2,Full-Time
Dhriti Pal,43,Male,Masonry,596-858,Chennai,600001,15,Primary,Married,5,Seasonal
Damyanti Issac,34,Female,Tailoring,472-658,Bangalore,560001,9,Primary,Single,1,Seasonal
Mitesh Sandhu,35,Male,Painting,357-487,Kolkata,700001,7,Primary,Widowed,0,Seasonal
Kavya Boase,36,Male,Domestic Help,340-634,Pune,411001,6,Primary,Widowed,2,Seasonal
Hredhaan Sha,38,Female,Painting,537-753,Bangalore,560001,19,Primary,Single,1,Full-Time
Varsha Natarajan,53,Female,"Gardening, Plumbing",320-517,Mumbai,400001,17,Higher Secondary,Widowed,2,Full-Time
Manan Handa,28,Male,Gardening,413-682,Delhi,110001,7,Secondary,Single,0,Seasonal
Kritika Korpal,48,Female,Sewing,358-482,Lucknow,226001,6,Secondary,Married,6,Full-Time
Omaja Kakar,48,Female,Cooking,455-697,Pune,411001,13,None,Single,0,Seasonal
Rajata Vohra,23,Male,Domestic Help,570-812,Jaipur,302001,6,Primary,Single,2,Seasonal
Manbir Dixit,55,Male,Plumbing,459-615,Jaipur,302001,12,Higher Secondary,Widowed,2,Seasonal
Lucky Rout,56,Male,Sewing,320-553,Chennai,600001,5,Higher Secondary,Widowed,2,Part-Time
Laban Saran,28,Female,Plastering,464-702,Bangalore,560001,11,Higher Secondary,Widowed,2,Part-Time
Aarav Balan,49,Female,Plastering,371-665,Pune,411001,19,Secondary,Married,2,Seasonal
Pallavi Batta,44,Female,"Electrical Work, Sewing",454-613,Pune,411001,19,Primary,Widowed,1,Seasonal
Finn Kaur,51,Female,Decorating,596-796,Hyderabad,500001,2,Higher Secondary,Single,0,Seasonal
Dayita Nadig,44,Female,Welding,441-552,Mumbai,400001,3,Secondary,Widowed,0,Full-Time
Ishita Bhatt,52,Female,Plumbing,400-599,Chennai,600001,13,Higher Secondary,Widowed,1,Part-Time
Anirudh Bhatti,37,Female,Sewing,308-549,Pune,411001,14,Secondary,Married,1,Seasonal
Advik Narang,19,Male,Carpentry,421-561,Ahmedabad,380001,1,Secondary,Married,6,Full-Time
Aditya Brahmbhatt,45,Male,"Masonry, Cooking",301-424,Mumbai,400001,10,Higher Secondary,Single,1,Part-Time
Rajata Nanda,51,Female,Masonry,560-688,Chennai,600001,9,None,Widowed,1,Full-Time
Yutika Deshpande,45,Male,"Sewing, Welding",476-722,Kolkata,700001,11,Primary,Single,1,Full-Time
Hemal Patla,58,Male,Carpentry,584-876,Pune,411001,12,Primary,Married,5,Part-Time
Vihaan Oza,53,Female,Painting,353-566,Pune,411001,11,Higher Secondary,Married,5,Seasonal
Samuel Ramanathan,43,Male,Gardening,384-639,Lucknow,226001,3,None,Widowed,2,Part-Time
Wakeeta Maharaj,37,Male,Carpentry,423-563,Mumbai,400001,16,Higher Secondary,Widowed,2,Full-Time
Ayush Karpe,19,Female,"Sewing, Gardening",519-734,Kolkata,700001,2,None,Widowed,2,Full-Time
Forum Dhillon,53,Female,Plastering,316-438,Bangalore,560001,18,None,Single,0,Part-Time
Lohit Mittal,43,Male,Painting,435-638,Hyderabad,500001,3,None,Single,0,Seasonal
Amol Thaman,48,Female,Tailoring,399-550,Bangalore,560001,9,Secondary,Single,0,Seasonal
Jagvi Ramachandran,23,Female,Electrical Work,357-588,Lucknow,226001,1,Primary,Widowed,0,Full-Time
Aarna Sarkar,49,Female,Domestic Help,499-790,Lucknow,226001,14,Secondary,Single,2,Seasonal
Aarna Chauhan,31,Female,Carpentry,324-538,Jaipur,302001,14,Primary,Widowed,2,Full-Time
Shaurya Sundaram,21,Male,Carpentry,447-557,Chennai,600001,3,Higher Secondary,Married,3,Full-Time
Simon Sekhon,47,Male,Gardening,339-489,Jaipur,302001,2,Primary,Single,0,Part-Time
Oviya Mand,26,Male,Plumbing,406-686,Jaipur,302001,4,None,Single,1,Seasonal
Geetika Pai,36,Female,Carpentry,326-522,Jaipur,302001,2,Higher Secondary,Widowed,1,Seasonal
Alka Sani,22,Male,Carpentry,415-695,Pune,411001,3,None,Single,2,Seasonal
Suhani Nath,34,Male,Welding,417-544,Chennai,600001,14,Higher Secondary,Widowed,2,Full-Time
Yuvraj Sahota,47,Female,Painting,442-557,Kolkata,700001,4,Secondary,Single,1,Part-Time
Samaksh Bhandari,45,Male,Plumbing,534-769,Pune,411001,10,Primary,Widowed,0,Seasonal
Tara Natt,56,Female,Domestic Help,457-707,Kolkata,700001,16,Secondary,Married,5,Part-Time
Xavier Tandon,49,Female,Plumbing,525-776,Ahmedabad,380001,18,None,Single,1,Part-Time
Praneel Chaudry,58,Female,Painting,310-456,Mumbai,400001,6,Primary,Married,2,Part-Time
Lohit Malhotra,60,Male,Plumbing,417-676,Hyderabad,500001,15,Primary,Widowed,1,Seasonal
Ira Tak,55,Male,Decorating,305-563,Ahmedabad,380001,15,Higher Secondary,Widowed,2,Part-Time
Mitali Kara,60,Male,Cooking,364-485,Pune,411001,9,Higher Secondary,Single,1,Full-Time
Osha Buch,19,Male,Tailoring,350-483,Mumbai,400001,1,Primary,Married,5,Part-Time
Chandani Sathe,53,Female,Plumbing,413-548,Pune,411001,7,Primary,Widowed,2,Seasonal
Frederick Joshi,33,Female,Gardening,474-598,Jaipur,302001,6,Higher Secondary,Widowed,0,Full-Time
Lipika Ray,43,Female,Welding,388-687,Chennai,600001,4,Higher Secondary,Single,0,Seasonal
Ekantika Kalla,48,Male,Gardening,520-816,Kolkata,700001,8,Primary,Married,0,Seasonal
Samuel Gera,23,Male,Domestic Help,393-496,Ahmedabad,380001,5,Secondary,Widowed,2,Seasonal
Peter Lala,54,Female,Sewing,489-626,Chennai,600001,2,Secondary,Widowed,2,Part-Time
Upasna Dalal,52,Female,Carpentry,459-610,Chennai,600001,1,Higher Secondary,Married,6,Full-Time
Jai Deshpande,33,Female,Masonry,400-577,Ahmedabad,380001,13,Primary,Single,0,Full-Time
Gopal Choudhry,36,Male,Tailoring,421-664,Hyderabad,500001,7,Secondary,Widowed,0,Seasonal
Harshil Solanki,21,Female,Welding,584-709,Mumbai,400001,3,Higher Secondary,Married,1,Seasonal
Veda Gulati,30,Male,Masonry,337-565,Kolkata,700001,6,Higher Secondary,Widowed,2,Part-Time
Sudiksha Hayre,39,Female,Painting,476-680,Delhi,110001,7,Secondary,Widowed,0,Full-Time
Odika Ranganathan,58,Male,Gardening,404-584,Chennai,600001,10,Secondary,Married,3,Seasonal
Dhruv Arora,47,Male,Gardening,570-816,Chennai,600001,17,Primary,Single,0,Part-Time
Rishi Mall,60,Male,Tailoring,308-593,Hyderabad,500001,19,Primary,Single,1,Full-Time
Dominic Rana,30,Male,Plastering,559-821,Kolkata,700001,12,Higher Secondary,Widowed,1,Part-Time
Abhiram D’Alia,26,Female,"Plumbing, Masonry",501-652,Delhi,110001,7,Higher Secondary,Widowed,0,Seasonal
Kevin Ray,31,Female,Domestic Help,422-592,Hyderabad,500001,7,Primary,Single,2,Full-Time
Yoshita Oommen,57,Female,Carpentry,537-827,Pune,411001,20,Primary,Married,1,Part-Time
Hamsini Narasimhan,24,Male,Plastering,539-710,Hyderabad,500001,7,None,Widowed,0,Part-Time
Megha Chander,42,Male,Domestic Help,445-673,Hyderabad,500001,16,Secondary,Widowed,0,Seasonal
Kavya Radhakrishnan,48,Female,Cooking,315-519,Ahmedabad,380001,4,Secondary,Widowed,2,Full-Time
Utkarsh Keer,43,Female,Plastering,424-536,Ahmedabad,380001,13,None,Widowed,1,Full-Time
Joshua Venkataraman,57,Female,Masonry,495-790,Bangalore,560001,12,Higher Secondary,Single,0,Seasonal
Dhriti Bera,32,Male,Gardening,401-673,Bangalore,560001,5,Higher Secondary,Married,6,Part-Time
Mahika Kari,54,Male,Plastering,487-782,Lucknow,226001,11,None,Married,3,Seasonal
Girish Raju,41,Male,Gardening,391-606,Lucknow,226001,9,Secondary,Single,0,Full-Time
Neelima Hans,23,Male,Gardening,529-801,Jaipur,302001,5,None,Widowed,2,Part-Time
Yug Memon,44,Female,Domestic Help,536-814,Mumbai,400001,16,Secondary,Widowed,0,Full-Time
Raghav Deep,26,Female,Plumbing,333-471,Jaipur,302001,7,Secondary,Married,5,Full-Time
Gavin Sethi,34,Female,"Domestic Help, Domestic Help",422-700,Hyderabad,500001,7,Primary,Single,0,Part-Time
Indali Aggarwal,55,Male,"Electrical Work, Sewing",493-722,Delhi,110001,12,Secondary,Married,3,Full-Time
Jatin Karnik,42,Male,Carpentry,426-638,Delhi,110001,19,Higher Secondary,Widowed,0,Full-Time
Simon Garde,51,Male,Domestic Help,414-654,Ahmedabad,380001,4,Primary,Married,6,Full-Time
Urvi Savant,54,Female,Masonry,470-758,Pune,411001,20,Higher Secondary,Married,1,Seasonal
Imaran Dasgupta,47,Female,Carpentry,464-758,Ahmedabad,380001,3,Primary,Single,1,Full-Time
Damyanti De,33,Female,Welding,484-753,Kolkata,700001,5,Secondary,Widowed,0,Seasonal
Prisha Varma,44,Female,Domestic Help,495-684,Chennai,600001,14,Higher Secondary,Married,3,Part-Time
Onkar Bhardwaj,39,Female,Masonry,365-502,Delhi,110001,17,Secondary,Widowed,2,Full-Time
William Ramanathan,24,Male,Decorating,380-578,Jaipur,302001,7,None,Widowed,1,Full-Time
Champak Dar,35,Male,Carpentry,366-597,Hyderabad,500001,4,Higher Secondary,Widowed,2,Part-Time
Abeer De,39,Male,"Carpentry, Carpentry",383-630,Hyderabad,500001,13,Primary,Married,0,Part-Time
Pushti Thakkar,21,Female,Sewing,348-507,Pune,411001,4,Primary,Married,2,Seasonal
Prisha Mani,42,Male,Plumbing,474-740,Pune,411001,15,None,Widowed,0,Part-Time
Janani Srivastava,32,Female,Gardening,364-532,Chennai,600001,12,None,Single,0,Part-Time
Maanas Krishnan,36,Male,Sewing,439-589,Jaipur,302001,10,Higher Secondary,Widowed,0,Seasonal
Vidhi Sharma,23,Male,"Carpentry, Cooking",383-524,Jaipur,302001,5,Primary,Married,1,Full-Time
Vansha Modi,36,Male,Masonry,398-694,Pune,411001,13,None,Married,1,Part-Time
Odika Merchant,42,Female,Carpentry,430-656,Chennai,600001,15,Higher Secondary,Married,0,Part-Time
Samaksh Patel,36,Female,"Painting, Plastering",421-559,Lucknow,226001,15,Primary,Widowed,1,Seasonal
Faraj Pandit,20,Male,Cooking,535-764,Hyderabad,500001,3,Higher Secondary,Widowed,2,Full-Time
Neelima Nazareth,29,Female,Painting,474-652,Jaipur,302001,10,Higher Secondary,Single,1,Seasonal
Chandresh Hans,50,Female,Painting,340-594,Bangalore,560001,11,Secondary,Widowed,1,Full-Time
Ganga Lata,42,Female,Carpentry,340-520,Chennai,600001,5,Primary,Widowed,1,Full-Time
Siddharth Bumb,57,Female,Cooking,461-611,Mumbai,400001,11,Higher Secondary,Married,4,Full-Time
Geetika Vasa,29,Female,Tailoring,337-540,Kolkata,700001,9,Secondary,Widowed,1,Part-Time
Vrishti Dara,36,Male,"Domestic Help, Welding",367-499,Jaipur,302001,3,Secondary,Single,2,Part-Time
Dalaja Johal,38,Female,Domestic Help,343-473,Pune,411001,13,Primary,Single,1,Part-Time
Inaya Bandi,53,Male,Painting,562-857,Lucknow,226001,18,Secondary,Widowed,1,Full-Time
Jagat Chandra,42,Male,"Decorating, Electrical Work",452-738,Jaipur,302001,9,Secondary,Widowed,0,Full-Time
Ojas Gade,44,Female,Plumbing,574-733,Chennai,600001,14,Primary,Widowed,2,Part-Time
Jhalak Nayak,52,Male,Painting,406-633,Chennai,600001,8,None,Widowed,1,Part-Time
Watika Dua,20,Female,Carpentry,308-415,Bangalore,560001,3,Primary,Widowed,2,Full-Time
Omkaar Dewan,38,Male,Electrical Work,538-773,Ahmedabad,380001,2,Secondary,Widowed,1,Part-Time
Neelima Bal,57,Male,Painting,412-583,Bangalore,560001,18,Higher Secondary,Married,0,Seasonal
Fitan Chandran,52,Female,Sewing,518-812,Chennai,600001,4,None,Married,1,Part-Time
Yash Kothari,58,Female,Painting,381-539,Ahmedabad,380001,13,Primary,Widowed,0,Full-Time
Kai Garde,22,Male,"Domestic Help, Plumbing",388-664,Bangalore,560001,1,Higher Secondary,Single,1,Full-Time
Falguni Balan,22,Female,Domestic Help,571-744,Hyderabad,500001,5,Higher Secondary,Widowed,2,Full-Time
Adya Ahuja,30,Male,"Plastering, Domestic Help",389-611,Kolkata,700001,8,Higher Secondary,Widowed,0,Full-Time
Karan Shenoy,35,Female,"Electrical Work, Welding",388-495,Delhi,110001,14,None,Single,0,Full-Time
Madhav Dora,57,Female,Masonry,392-643,Chennai,600001,6,Higher Secondary,Married,5,Part-Time
Veer Pandit,54,Male,"Painting, Decorating",378-591,Kolkata,700001,12,Primary,Single,2,Full-Time
Arya Sarna,45,Male,Gardening,464-606,Delhi,110001,3,None,Single,0,Seasonal
Chameli Oommen,36,Female,Domestic Help,443-590,Jaipur,302001,14,Higher Secondary,Single,1,Part-Time
Manya Dua,46,Male,Carpentry,388-610,Ahmedabad,380001,12,Higher Secondary,Married,1,Full-Time
Suhani Singh,54,Female,Painting,312-513,Chennai,600001,2,Primary,Single,1,Seasonal
Amrita Hans,27,Male,"Painting, Masonry",369-473,Chennai,600001,6,Primary,Widowed,1,Seasonal
Lila Peri,53,Male,Carpentry,473-654,Delhi,110001,8,Secondary,Widowed,1,Full-Time
Samar Khanna,38,Female,Painting,389-619,Lucknow,226001,18,None,Single,1,Seasonal
Tarak Pandya,28,Male,Domestic Help,525-794,Lucknow,226001,9,None,Widowed,0,Full-Time
Jason Vasa,24,Female,Plumbing,502-684,Kolkata,700001,4,Secondary,Single,0,Full-Time
Nimrat Agarwal,35,Male,Plastering,585-760,Chennai,600001,1,Secondary,Single,2,Full-Time
Inaya Loyal,51,Male,Gardening,590-813,Bangalore,560001,19,Higher Secondary,Widowed,1,Seasonal
Darika Shankar,53,Male,Painting,430-730,Bangalore,560001,9,Secondary,Widowed,1,Part-Time
Kashish Handa,59,Female,Welding,360-655,Jaipur,302001,5,Secondary,Widowed,0,Seasonal
Nirja Sridhar,39,Male,Electrical Work,306-543,Hyderabad,500001,4,Primary,Single,2,Full-Time
Oni Buch,51,Female,Carpentry,466-615,Kolkata,700001,20,Higher Secondary,Married,1,Full-Time
Chavvi Tiwari,37,Female,Carpentry,411-606,Jaipur,302001,1,Higher Secondary,Married,3,Part-Time
Kritika Kothari,51,Male,"Carpentry, Plumbing",407-510,Delhi,110001,18,Higher Secondary,Widowed,0,Part-Time
Rehaan Dada,60,Female,"Domestic Help, Welding",570-783,Mumbai,400001,20,Higher Secondary,Single,1,Full-Time
Madhav Char,32,Male,Plastering,318-424,Bangalore,560001,10,None,Widowed,1,Full-Time
Aadi Prashad,50,Male,Domestic Help,311-458,Mumbai,400001,2,Higher Secondary,Widowed,0,Seasonal
Nathaniel Narang,50,Male,"Domestic Help, Masonry",460-643,Lucknow,226001,13,Higher Secondary,Widowed,2,Part-Time
Sneha Gill,58,Female,"Gardening, Gardening",488-767,Pune,411001,8,None,Widowed,2,Full-Time
Kabir Ben,43,Female,Welding,490-751,Jaipur,302001,7,Secondary,Married,0,Full-Time
Timothy Mitra,53,Female,Cooking,522-637,Ahmedabad,380001,8,Secondary,Widowed,1,Seasonal
Waida Butala,24,Female,Painting,494-750,Mumbai,400001,5,None,Widowed,1,Full-Time
Nidra Bhatt,34,Female,Masonry,507-789,Jaipur,302001,9,Higher Secondary,Married,0,Seasonal
Krishna Ratti,22,Male,Plumbing,502-722,Hyderabad,500001,3,Secondary,Single,0,Seasonal
Widisha Rajagopal,57,Male,Carpentry,423-532,Pune,411001,6,Higher Secondary,Married,3,Full-Time
Zayyan Kaur,34,Female,Cooking,390-544,Pune,411001,15,Primary,Widowed,0,Part-Time
Gaurangi Chana,39,Male,Tailoring,385-584,Bangalore,560001,1,None,Single,2,Part-Time
Gavin Mannan,29,Female,Cooking,564-671,Kolkata,700001,10,Higher Secondary,Single,2,Seasonal
Zinal Pai,19,Male,Welding,482-643,Lucknow,226001,1,None,Married,1,Seasonal
Qasim Majumdar,52,Female,"Decorating, Painting",462-733,Kolkata,700001,2,Primary,Married,0,Full-Time
Leena Tiwari,52,Female,Painting,343-443,Mumbai,400001,1,Higher Secondary,Widowed,1,Part-Time
Agastya Gour,40,Female,Domestic Help,425-663,Delhi,110001,19,Primary,Widowed,2,Part-Time
Wishi Balan,28,Male,"Sewing, Decorating",323-461,Pune,411001,8,None,Single,1,Part-Time
Dalaja Lad,26,Female,Electrical Work,346-599,Pune,411001,8,Secondary,Widowed,0,Full-Time
Luke Vig,28,Male,Decorating,455-604,Hyderabad,500001,4,Primary,Married,6,Part-Time
Adweta Nori,60,Female,Plumbing,323-567,Bangalore,560001,8,None,Married,4,Seasonal
Arjun Gour,28,Male,Cooking,447-580,Chennai,600001,6,None,Married,1,Full-Time
Vrishti Kadakia,30,Female,Decorating,426-716,Jaipur,302001,3,Secondary,Single,2,Full-Time
Maanas Srinivasan,23,Female,"Decorating, Domestic Help",382-584,Ahmedabad,380001,2,None,Married,4,Seasonal
Bhavna Chahal,57,Male,Gardening,497-615,Delhi,110001,1,Secondary,Married,3,Full-Time
Unni Goel,48,Female,Masonry,498-687,Delhi,110001,1,Higher Secondary,Widowed,1,Part-Time
Amara Lala,45,Female,Plastering,401-597,Jaipur,302001,14,Higher Secondary,Widowed,0,Seasonal
Zilmil Raj,44,Female,Sewing,541-792,Jaipur,302001,4,Secondary,Single,1,Seasonal
Akshay Bath,18,Female,Plastering,526-749,Pune,411001,1,Higher Secondary,Married,2,Full-Time
Damyanti Dash,19,Female,Decorating,374-539,Chennai,600001,1,Primary,Married,2,Full-Time
Zaid Kar,29,Female,Painting,436-689,Kolkata,700001,3,Higher Secondary,Single,1,Full-Time
Arya Varma,57,Female,"Painting, Domestic Help",417-548,Kolkata,700001,11,Secondary,Widowed,1,Seasonal
Bahadurjit Tella,52,Female,Domestic Help,402-598,Kolkata,700001,6,Secondary,Widowed,0,Part-Time
Viraj Gokhale,28,Male,Decorating,326-525,Hyderabad,500001,11,Secondary,Married,6,Full-Time
Om Mannan,39,Male,Tailoring,556-761,Bangalore,560001,10,Higher Secondary,Widowed,2,Full-Time
Maanav Gola,20,Female,Plumbing,599-841,Hyderabad,500001,2,None,Widowed,1,Full-Time
Gavin Khalsa,58,Male,Painting,538-697,Jaipur,302001,10,None,Married,0,Seasonal
Diya Kata,37,Male,Sewing,482-725,Ahmedabad,380001,13,Higher Secondary,Married,2,Full-Time
Zaitra Zachariah,56,Female,Plastering,467-734,Hyderabad,500001,9,None,Widowed,2,Seasonal
Tamanna Vig,31,Male,"Plumbing, Masonry",489-703,Pune,411001,10,Higher Secondary,Single,2,Seasonal
Upasna Dhar,22,Male,Electrical Work,587-845,Kolkata,700001,5,None,Married,2,Seasonal
Omkaar Mand,24,Male,Plumbing,437-573,Bangalore,560001,5,Higher Secondary,Widowed,1,Full-Time
Akshay Devan,37,Male,Decorating,537-792,Mumbai,400001,3,None,Widowed,2,Seasonal
Unnati Jani,30,Female,Decorating,310-454,Bangalore,560001,5,Secondary,Married,4,Part-Time
Qadim Dave,34,Male,Plumbing,339-622,Chennai,600001,7,Primary,Widowed,1,Seasonal
Chasmum Venkataraman,31,Male,Electrical Work,415-554,Kolkata,700001,9,Secondary,Single,0,Part-Time
Chanakya Sant,44,Female,Cooking,367-470,Kolkata,700001,12,Secondary,Widowed,0,Part-Time
Wriddhish Sarraf,37,Female,Cooking,522-630,Chennai,600001,20,Higher Secondary,Single,1,Full-Time
Rachit Bhagat,27,Male,Masonry,422-658,Lucknow,226001,9,Higher Secondary,Married,1,Part-Time
Priya Sane,40,Male,Decorating,461-714,Pune,411001,5,Higher Secondary,Single,2,Full-Time
Ekbal Sandal,49,Female,Cooking,320-463,Bangalore,560001,6,Higher Secondary,Widowed,1,Seasonal
Jatin Munshi,18,Female,Tailoring,563-689,Bangalore,560001,1,None,Married,2,Full-Time
Oscar Rao,43,Male,Domestic Help,523-784,Hyderabad,500001,11,Secondary,Widowed,2,Seasonal
Anusha Ramesh,57,Male,Tailoring,543-765,Delhi,110001,20,Primary,Married,3,Seasonal
Sneha Nadig,38,Female,"Sewing, Welding",356-634,Lucknow,226001,5,Primary,Married,2,Full-Time
Saanvi Kashyap,24,Male,Tailoring,362-467,Chennai,600001,2,Primary,Married,0,Full-Time
Abhiram Acharya,48,Male,Welding,468-618,Bangalore,560001,19,None,Single,1,Part-Time
Saksham Sood,18,Male,Domestic Help,323-477,Chennai,600001,1,Higher Secondary,Married,4,Part-Time
Jagdish Wagle,43,Male,Gardening,427-573,Delhi,110001,17,Secondary,Married,3,Part-Time
Keya Dash,46,Male,Sewing,570-764,Chennai,600001,6,Higher Secondary,Married,4,Seasonal
Chandran Nagar,36,Female,Tailoring,501-793,Bangalore,560001,16,Primary,Widowed,2,Part-Time
Ekansh Chawla,43,Male,Masonry,314-610,Chennai,600001,2,Primary,Married,0,Full-Time
Megha Sarkar,54,Male,Sewing,304-599,Bangalore,560001,20,Higher Secondary,Single,1,Seasonal
Widisha Raval,49,Male,Plastering,447-725,Pune,411001,5,Primary,Married,2,Part-Time
Reyansh Soman,36,Male,Cooking,511-683,Lucknow,226001,3,None,Married,4,Full-Time
Nimrat Pall,37,Female,"Tailoring, Electrical Work",430-553,Pune,411001,14,None,Married,3,Seasonal
Maanas Lad,29,Male,Decorating,467-745,Kolkata,700001,12,Primary,Married,3,Seasonal
Faras Varma,60,Female,"Gardening, Painting",574-843,Jaipur,302001,7,None,Widowed,2,Full-Time
Siddharth Sinha,58,Female,Tailoring,581-708,Chennai,600001,5,Higher Secondary,Widowed,1,Full-Time
Isaiah Mittal,34,Female,Plastering,585-806,Kolkata,700001,14,Primary,Single,2,Full-Time
Rachit Madan,44,Female,"Welding, Gardening",473-727,Jaipur,302001,16,Higher Secondary,Single,1,Full-Time
Upasna Hari,42,Female,Welding,506-767,Lucknow,226001,18,Secondary,Married,6,Seasonal
William Goda,46,Male,Domestic Help,365-467,Lucknow,226001,5,Primary,Single,1,Part-Time
Zehaan Shanker,33,Male,Plumbing,540-660,Bangalore,560001,3,None,Widowed,0,Seasonal
